,0000001001,0000001111,0000010001,0000110011,0001000101,0001001000,0001010110,0001101101,0001111001,0001111111,0010000000,0011010001,0011111110,0100000110,0100011001,0100100001,0100101100,0100101111,0100110111,0101000000,0101001011,0101011000,0101100101,0101101001,0101101110,0101110000,0110001001,0110001110,0110010011,0110011010,0110011100,0110011111,0110111101,0111000001,0111000010,0111000111,0111011011,0111011101,0111110110,0111111000,1000000001,1000000111,1000011011,1000011101,1000100011,1000110111,1001000011,1001001110,1001010111,1001101111,1010010110,1010011000,1010011111,1010101000,1010101110,1010110101,1011000001,1011101011,1100000010,1100001001,1100010000,1100101011,1101110011,1101111101,1110000110,1110011001,1111000100,1111010010,1111010101,1111011000
0001111111,66,145,79,35,7,0,0,34,9,44,0,0,13,0,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,255,0,80,0,0,12,0,0,0,0,40,0,0,47,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011010001,118,0,252,12,10,16,0,0,11,0,0,18,0,9,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0011111110,67,103,86,10,0,11,16,15,0,36,0,0,0,23,0,0,36,0,21,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,23,0,0,0,0,7,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100000110,113,45,9,0,15,0,10,0,0,0,0,0,0,178,0,0,11,20,18,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0
0100011001,156,15,129,0,0,12,0,0,12,0,7,0,0,51,21,9,0,0,8,0,0,8,0,0,0,0,24,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0
0100100001,194,0,77,9,0,0,0,0,0,0,0,0,0,114,8,45,0,11,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100101100,57,8,123,0,0,0,0,9,0,0,6,0,0,129,0,36,80,11,0,21,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100101111,89,91,35,0,13,0,0,43,0,8,0,0,0,48,0,15,38,30,3,0,0,0,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0100110111,35,33,79,90,8,0,0,0,0,12,0,0,0,48,0,14,9,35,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
