,0000000001,0000100011,0000100110,0001001000,0001011111,0001100000,0001100101,0001110100,0010000000,0010000011,0010001111,0010011011,0010111110,0011011010,0011101000,0011110111,0011111100,0100000111,0100001110,0100010001,0100010100,0100011010,0100011101,0100100000,0100111110,0101000011,0101000100,0101001001,0101001111,0101101000,0110101010,0110101101,0110110001,0110111000,0111010101,0111011000,0111101011,0111111111,1000001101,1000010001,1000010100,1000100010,1000101100,1001000000,1001000101,1001001110,1001101001,1001110101,1001111111,1010000111,1010001001,1010011110,1010100101,1010110011,1010111001,1010111010,1011000010,1011010101,1011011111,1011101010,1011101111,1100000100,1100101001,1100110010,1101000010,1101010000,1101011110,1101101110,1110100110,1110111101,1111000011,1111001001,1111001100,1111001111,1111011011,1111110001
0011011010,173,11,0,10,10,12,0,0,30,0,0,22,26,0,0,0,0,87,13,0,0,19,0,0,0,48,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0011101000,188,0,0,51,0,64,0,0,2,0,0,0,0,0,12,0,9,33,0,0,0,0,0,10,0,11,0,17,0,27,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,6,0,0,0,15,0,0,0,23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011110111,0,23,14,0,34,0,17,29,13,0,0,11,25,0,0,32,0,126,0,0,0,0,0,0,25,33,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011111100,152,0,0,0,37,5,0,37,0,0,0,0,38,0,9,0,0,57,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,34,0,11,0,0,15,0,0,0,0,0,0,15,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0100000111,128,12,11,0,0,0,0,0,22,7,13,0,0,0,0,0,0,240,19,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100001110,87,0,9,0,0,0,0,0,10,0,14,0,0,0,0,0,0,218,123,0,0,11,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
0100010001,230,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,108,0,8,13,0,8,21,0,27,0,9,0,0,0,0,10,15,12,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100010100,132,0,11,0,0,0,0,5,18,0,0,0,0,0,0,0,0,128,30,7,37,0,15,26,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0100011010,223,18,0,0,0,0,0,0,10,0,0,15,10,10,0,0,0,66,62,0,0,8,0,0,8,9,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
0100011101,124,0,0,0,51,0,0,0,0,0,37,0,0,0,0,0,0,144,39,12,22,0,8,0,0,0,0,5,0,0,0,11,0,23,9,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
