,0000001000,0000011010,0000100001,0000101010,0000101111,0000110010,0000111011,0000111100,0001000010,0001000101,0001100110,0001110011,0001111110,0010000010,0010010101,0010110100,0011010110,0011011010,0011101001,0011110010,0011111101,0100000110,0100101000,0100111001,0100111111,0101000111,0101010001,0101010110,0101100100,0101101101,0101111100,0110000101,0110001001,0110010111,0110100110,0111000001,0111001101,0111010000,0111010101,0111011011,0111011110,0111101011,0111110011,1000001111,1000010111,1000011100,1000110011,1000110100,1000111001,1001010010,1001100000,1001110001,1001111000,1001111101,1010001001,1010010010,1010010100,1010100010,1010100100,1011000000,1011001111,1011011011,1011011100,1011100011,1011100110,1011111110,1100000011,1100001101,1100001110,1100010101,1100100101,1100101001,1100110000,1100111010,1100111101,1101000010,1101001100,1101011001,1101011010,1101101111,1101110111,1110000000,1110001100,1110101010,1110110001,1111000101,1111010001,1111010010,1111100001,1111110101
0011111101,40,0,39,0,48,0,13,33,0,20,22,38,9,0,50,0,0,0,36,0,44,9,0,29,0,0,0,0,0,11,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0100000110,41,26,0,34,0,0,0,0,25,0,10,0,0,23,0,0,15,0,0,0,0,202,0,0,0,12,8,8,0,0,0,15,0,25,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100101000,159,8,26,73,0,0,0,17,0,15,10,0,0,11,0,0,0,0,12,0,0,49,41,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0100111001,74,23,40,8,0,0,25,7,0,9,0,12,0,11,0,0,0,0,12,0,0,0,13,71,13,0,49,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,14,0,13,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0100111111,14,35,18,9,65,0,22,27,0,0,0,28,10,0,0,0,0,0,0,0,0,30,0,65,15,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101000111,12,0,9,0,7,0,0,0,73,66,9,16,0,11,0,0,16,0,0,0,0,83,0,0,0,18,21,8,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
0101010001,54,15,0,0,0,0,0,0,16,31,0,26,0,0,0,0,0,0,6,0,0,52,0,9,0,0,100,11,0,0,0,0,0,115,0,11,0,7,11,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,0,0,0
0101010110,0,28,0,0,0,0,0,0,36,12,25,4,14,0,0,17,28,0,0,0,0,142,0,0,0,13,18,25,0,0,0,0,0,63,0,0,0,6,0,0,12,0,0,16,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
0101100100,19,0,26,27,0,0,0,0,0,10,105,17,0,0,0,11,0,0,5,0,0,104,57,0,0,11,22,29,0,9,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101101101,15,0,73,12,28,0,0,0,0,52,23,12,0,0,0,0,0,0,29,0,9,30,0,26,0,15,15,0,14,11,15,0,0,14,0,0,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
