,0000000011,0000010000,0000010111,0000011001,0000100100,0000110001,0000110010,0000111011,0001000000,0001001100,0001011000,0001110111,0001111100,0010000000,0010011100,0010100010,0010101011,0010110110,0011000101,0011010001,0011010110,0011100011,0011111110,0100000101,0100010010,0100011110,0100100001,0100100111,0100101101,0100110100,0100111010,0101001010,0101010110,0101011001,0101100010,0101100101,0101110001,0101111101,0110000011,0110001010,0110001111,0110010101,0110101000,0110101110,0111000100,0111000111,0111011110,0111100000,0111101011,0111101100,0111110110,0111111000,1000000010,1000010001,1000011011,1000011110,1000110101,1000111010,1001010000,1001010111,1001011101,1001100011,1001100101,1001100110,1001101001,1001101010,1010001001,1010010011,1010010110,1010100000,1010100111,1010101010,1010111101,1010111110,1011010100,1011011011,1100000001,1100000110,1100001000,1100001011,1100010111,1100100000,1100101100,1100111001,1101000011,1101000101,1101001100,1101011110,1101100100,1101101111,1101110000,1101110111,1110100101,1110100110,1110110100,1110110111,1111001011,1111001110,1111011001,1111100010,1111111110
0010000000,63,41,3,0,19,0,0,0,33,0,5,0,0,21,4,13,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011100,15,40,48,13,16,0,0,0,9,25,4,0,6,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010100010,62,13,9,0,36,0,16,0,18,0,0,0,0,3,0,32,2,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010101011,59,0,41,31,6,0,0,25,0,0,0,0,0,0,5,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,7,0,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110110,12,37,45,0,26,0,28,0,0,0,0,4,5,0,6,11,0,2,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,2,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011000101,33,0,9,0,8,0,0,0,38,7,4,0,0,19,5,0,0,0,0,7,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,43,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011010001,21,40,0,15,0,15,0,0,24,0,23,0,0,9,0,0,0,0,5,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0011010110,17,33,32,0,4,0,7,0,11,3,9,10,5,0,11,0,0,4,0,11,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,32,0,0,0,0,7,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,3,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011100011,60,0,9,3,8,9,6,6,29,0,0,6,0,0,0,9,8,0,0,0,0,10,0,3,0,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,21,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011111110,15,6,65,0,10,0,8,5,0,10,11,8,15,0,4,5,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,8,6,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0100000101,42,10,23,6,9,0,0,0,5,10,0,0,0,16,0,0,0,0,4,0,0,0,0,37,0,0,8,6,4,0,0,0,5,0,0,6,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100010010,64,74,7,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,12,0,3,0,0,0,0,0,8,5,0,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100011110,33,26,104,6,0,0,6,0,0,4,0,0,5,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,4,0,0,0,0,0,0,11,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0100100001,64,15,0,38,21,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,6,7,0,0,0,0,0,3,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100100111,61,0,62,0,18,0,5,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,13,0,0,6,23,3,0,0,0,0,0,8,2,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
