,0000000000,0000010101,0000011010,0000101000,0000101011,0000101101,0001001000,0001001101,0001010000,0001010110,0001101111,0010011111,0010100000,0010110001,0010110010,0011000101,0011100100,0100000101,0100001000,0100001110,0100101100,0100110001,0100111111,0101000001,0101000111,0101010011,0101011010,0101011101,0101111000,0110000000,0110001001,0110010111,0110011100,0110101011,0111001011,0111001100,0111011000,0111101111,0111110001,1000000110,1000001111,1000010000,1000010011,1000011101,1000100001,1000111100,1001000100,1001000111,1001001110,1001010001,1001011000,1001110111,1001111101,1001111110,1010001001,1010001100,1010010111,1010100011,1010100100,1010111010,1010111111,1011000001,1011001111,1011010000,1011011001,1011100111,1011101100,1100100011,1100100101,1100101111,1100110000,1100111010,1101000011,1101001001,1101100000,1101100110,1101110101,1101111011,1101111100,1110000100,1110010000,1110011010,1110100001,1111000111,1111010011,1111010100,1111101000
0100000101,76,17,0,0,5,9,0,6,0,0,0,0,0,8,0,9,18,18,0,0,0,0,0,6,9,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100001000,67,0,22,8,0,0,15,0,9,0,0,0,0,0,0,0,0,4,4,4,8,0,0,0,0,0,0,4,0,5,21,0,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3
0100001110,32,0,13,7,0,0,5,0,0,0,48,0,0,0,0,0,12,3,11,0,6,0,0,0,4,0,11,2,0,0,0,5,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,48,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
0100101100,4,0,0,13,0,7,6,0,4,0,36,0,0,0,0,0,23,5,9,6,14,0,0,0,0,0,0,18,0,0,16,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100110001,21,12,10,0,24,5,0,0,16,0,0,0,8,29,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,10,0,0,0,37,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0100111111,0,9,11,0,42,17,0,0,0,0,39,30,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,26,0,0,0,9,0,6,0,0,0,3,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0101000001,80,3,0,0,18,0,8,10,11,0,0,4,0,4,0,4,4,23,0,0,0,0,0,0,1,6,0,3,0,0,7,0,0,0,7,0,0,0,0,0,0,0,23,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0
0101000111,30,5,0,0,8,0,0,8,0,4,20,0,0,0,0,17,18,8,0,0,0,0,0,3,0,8,0,6,0,0,0,13,0,0,14,0,0,2,0,0,0,0,33,0,0,0,0,7,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,7,0,0,0
0101010011,20,8,0,0,22,0,0,0,17,4,7,13,0,9,0,0,0,11,0,0,0,0,0,7,2,0,7,11,0,0,0,12,0,0,10,0,0,0,0,0,0,0,56,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,6,0,0
0101011010,20,0,67,5,8,0,7,0,14,6,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,20,3,0,0,4,0,0,11,0,4,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0101011101,14,16,19,0,20,7,6,12,9,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,7,0,6,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,26,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0
0101111000,7,0,49,16,41,0,4,0,14,0,3,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,17,17,0,0,7,0,1,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0
0110000000,63,0,0,0,0,0,0,0,13,0,0,0,11,10,0,0,5,12,11,0,5,0,0,0,0,0,0,0,0,0,18,8,3,0,0,1,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,2
0110001001,41,0,9,5,0,0,0,3,0,0,3,10,0,3,0,0,0,15,11,0,0,0,0,0,0,0,0,3,0,1,41,0,6,9,11,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,14,0,25,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7
0110010111,13,16,0,0,0,0,0,0,0,6,15,28,0,18,0,10,0,25,0,0,0,0,0,0,0,4,0,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110011100,25,8,28,0,0,0,0,0,8,0,7,4,0,0,0,0,16,0,11,0,5,0,0,0,0,0,0,32,0,0,6,13,24,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0110101011,5,0,0,13,35,0,0,0,0,0,11,25,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,25,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0111001011,17,0,0,0,14,0,4,6,0,0,18,49,0,0,0,9,0,3,0,0,0,0,0,0,6,7,0,0,0,0,15,0,0,10,38,3,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0111001100,12,0,0,0,0,0,14,9,0,0,14,7,0,0,0,6,43,0,15,0,5,0,0,0,0,0,0,16,0,0,8,4,12,0,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,8,0,4,0,7,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5
